Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.3487,3.3464,0.14602,2,2.3,2.5,2.6,2.8,2.9,3,3.3,3.7,3.9,4,4.2,4.3,4.6,5.1
1,0.2297,4.4709,0.13395,2.9,3.2,3.4,3.6,3.8,3.9,4.1,4.5,4.9,5.1,5.3,5.5,5.7,6,6.6
2,0.197,5.5675,0.12385,3.7,4.1,4.4,4.5,4.7,4.9,5.1,5.6,6,6.3,6.5,6.8,7,7.4,8.1
3,0.1738,6.3762,0.11727,4.4,4.8,5.1,5.2,5.5,5.6,5.9,6.4,6.9,7.2,7.4,7.7,7.9,8.3,9.1
4,0.1553,7.0023,0.11316,4.9,5.4,5.6,5.8,6,6.2,6.5,7,7.6,7.9,8.1,8.4,8.6,9.1,9.8
5,0.1395,7.5105,0.1108,5.3,5.8,6.1,6.2,6.5,6.7,7,7.5,8.1,8.4,8.6,9,9.2,9.7,10.5
6,0.1257,7.934,0.10958,5.6,6.1,6.4,6.6,6.9,7.1,7.4,7.9,8.5,8.9,9.1,9.5,9.7,10.2,11.1
7,0.1134,8.297,0.10902,5.9,6.4,6.7,6.9,7.2,7.4,7.7,8.3,8.9,9.3,9.5,9.9,10.2,10.7,11.5
8,0.1021,8.6151,0.10882,6.1,6.7,7,7.2,7.5,7.7,8,8.6,9.3,9.6,9.9,10.3,10.5,11.1,12
9,0.0917,8.9014,0.10881,6.3,6.9,7.2,7.4,7.7,7.9,8.3,8.9,9.6,10,10.2,10.6,10.9,11.4,12.4
10,0.082,9.1649,0.10891,6.5,7.1,7.5,7.7,8,8.2,8.5,9.2,9.9,10.3,10.5,10.9,11.2,11.8,12.8
11,0.073,9.4122,0.10906,6.7,7.3,7.7,7.9,8.2,8.4,8.7,9.4,10.1,10.5,10.8,11.2,11.5,12.1,13.1
12,0.0644,9.6479,0.10925,6.9,7.5,7.8,8.1,8.4,8.6,9,9.6,10.4,10.8,11.1,11.5,11.8,12.4,13.5
13,0.0563,9.8749,0.10949,7,7.6,8,8.2,8.6,8.8,9.2,9.9,10.6,11.1,11.4,11.8,12.1,12.7,13.8
14,0.0487,10.0953,0.10976,7.2,7.8,8.2,8.4,8.8,9,9.4,10.1,10.9,11.3,11.6,12.1,12.4,13,14.1
15,0.0413,10.3108,0.11007,7.3,8,8.4,8.6,9,9.2,9.6,10.3,11.1,11.6,11.9,12.3,12.7,13.3,14.5
16,0.0343,10.5228,0.11041,7.5,8.1,8.5,8.8,9.1,9.4,9.8,10.5,11.3,11.8,12.1,12.6,12.9,13.6,14.8
17,0.0275,10.7319,0.11079,7.6,8.3,8.7,8.9,9.3,9.6,10,10.7,11.6,12,12.4,12.9,13.2,13.9,15.1
18,0.0211,10.9385,0.11119,7.7,8.4,8.9,9.1,9.5,9.7,10.1,10.9,11.8,12.3,12.6,13.1,13.5,14.2,15.4
19,0.0148,11.143,0.11164,7.9,8.6,9,9.3,9.7,9.9,10.3,11.1,12,12.5,12.9,13.4,13.7,14.4,15.7
20,0.0087,11.3462,0.11211,8,8.7,9.2,9.4,9.8,10.1,10.5,11.3,12.2,12.7,13.1,13.6,14,14.7,16
21,0.0029,11.5486,0.11261,8.2,8.9,9.3,9.6,10,10.3,10.7,11.5,12.5,13,13.3,13.9,14.3,15,16.4
22,-0.0028,11.7504,0.11314,8.3,9,9.5,9.8,10.2,10.5,10.9,11.8,12.7,13.2,13.6,14.2,14.5,15.3,16.7
23,-0.0083,11.9514,0.11369,8.4,9.2,9.7,9.9,10.3,10.6,11.1,12,12.9,13.4,13.8,14.4,14.8,15.6,17
24,-0.0137,12.1515,0.11426,8.5,9.3,9.8,10.1,10.5,10.8,11.3,12.2,13.1,13.7,14.1,14.7,15.1,15.9,17.3
25,-0.0189,12.3502,0.11485,8.7,9.5,10,10.2,10.7,11,11.4,12.4,13.3,13.9,14.3,14.9,15.3,16.1,17.6
26,-0.024,12.5466,0.11544,8.8,9.6,10.1,10.4,10.8,11.1,11.6,12.5,13.6,14.1,14.6,15.2,15.6,16.4,18
27,-0.0289,12.7401,0.11604,8.9,9.7,10.2,10.5,11,11.3,11.8,12.7,13.8,14.4,14.8,15.4,15.9,16.7,18.3
28,-0.0337,12.9303,0.11664,9,9.9,10.4,10.7,11.1,11.5,12,12.9,14,14.6,15,15.7,16.1,17,18.6
29,-0.0385,13.1169,0.11723,9.2,10,10.5,10.8,11.3,11.6,12.1,13.1,14.2,14.8,15.2,15.9,16.4,17.3,18.9
30,-0.0431,13.3,0.11781,9.3,10.1,10.7,11,11.4,11.8,12.3,13.3,14.4,15,15.5,16.2,16.6,17.5,19.2
31,-0.0476,13.4798,0.11839,9.4,10.3,10.8,11.1,11.6,11.9,12.4,13.5,14.6,15.2,15.7,16.4,16.9,17.8,19.5
32,-0.052,13.6567,0.11896,9.5,10.4,10.9,11.2,11.7,12.1,12.6,13.7,14.8,15.5,15.9,16.6,17.1,18,19.8
