price,website,brand,size,target_kg_min,target_kg_max,units,unit_price
"999.99","www.perfumeriasmiriam.com.ar","babysec","g","8.5","12","36","27.78"
"999.99","www.perfumeriasmiriam.com.ar","babysec","m","5","9.5","44","22.73"
"999.99","www.perfumeriasmiriam.com.ar","babysec","xxg","13","20","26","38.46"
"999.99","www.perfumeriasmiriam.com.ar","babysec","xg","11","15","28","35.71"
"1000.0","www.perfumeriasmiriam.com.ar","pampers","p","5","7.5","36","27.78"
"2900.0","www.perfumeriasmiriam.com.ar","pampers","g","9","12","72","40.28"
"2900.0","www.perfumeriasmiriam.com.ar","pampers","xg","12","15","58","50.0"
"2900.0","www.perfumeriasmiriam.com.ar","pampers","xxg","14","20","54","53.7"
"2900.0","www.perfumeriasmiriam.com.ar","pampers","m","6","9.5","72","40.28"
"3200.0","www.perfumeriasmiriam.com.ar","pampers","m","6","9.5","72","44.44"
"3200.0","www.perfumeriasmiriam.com.ar","pampers","g","9","12","72","44.44"
"3200.0","www.perfumeriasmiriam.com.ar","pampers","xg","12","15","58","55.17"
"3200.0","www.perfumeriasmiriam.com.ar","pampers","xxg","14","20","54","59.26"
"2490.0","www.perfumeriasmiriam.com.ar","huggies","g","9","12.5","60","41.5"
"2490.0","www.perfumeriasmiriam.com.ar","huggies","xg","12","15","52","47.88"
"2490.0","www.perfumeriasmiriam.com.ar","huggies","m","5.5","9.5","68","36.62"
"2490.0","www.perfumeriasmiriam.com.ar","huggies","xxg","14","20","50","49.8"
"2200.0","www.perfumeriasmiriam.com.ar","pampers","m","6","9.5","48","45.83"
"2200.0","www.perfumeriasmiriam.com.ar","pampers","g","9","12","40","55.0"
"2200.0","www.perfumeriasmiriam.com.ar","pampers","xg","12","15","34","64.71"
"2200.0","www.perfumeriasmiriam.com.ar","pampers","xxg","14","20","32","68.75"
"2250.0","www.perfumeriasmiriam.com.ar","huggies","m","5.5","9.5","68","33.09"
"2250.0","www.perfumeriasmiriam.com.ar","huggies","xxg","14","20","50","45.0"
"2250.0","www.perfumeriasmiriam.com.ar","huggies","xg","12","15","52","43.27"
"2250.0","www.perfumeriasmiriam.com.ar","huggies","g","9","12.5","60","37.5"
"1600.0","www.perfumeriasmiriam.com.ar","babysec","g","8.5","12","40","40.0"
"1600.0","www.perfumeriasmiriam.com.ar","babysec","xg","11","15","32","50.0"
"1600.0","www.perfumeriasmiriam.com.ar","babysec","m","5","9.5","48","33.33"
"1600.0","www.perfumeriasmiriam.com.ar","babysec","xxg","13","20","30","53.33"
"880.0","www.perfumeriasmiriam.com.ar","pampers","rn","0","4.5","20","44.0"
"1350.0","www.perfumeriasmiriam.com.ar","pampers","rn","0","4.5","36","37.5"
"2480.0","www.perfumeriasmiriam.com.ar","pampers","rn","0","4.5","56","44.29"
"750.0","www.perfumeriasmiriam.com.ar","pampers","xg","12","15","36","20.83"
"750.0","www.perfumeriasmiriam.com.ar","pampers","g","9","12","44","17.05"
"2390.0","www.perfumeriasmiriam.com.ar","huggies","p","3.5","6","50","47.8"
"2390.0","www.perfumeriasmiriam.com.ar","huggies","xg","12","15","52","45.96"
"2390.0","www.perfumeriasmiriam.com.ar","huggies","xxg","14","20","50","47.8"
"2390.0","www.perfumeriasmiriam.com.ar","huggies","g","9","12.5","60","39.83"
"2390.0","www.perfumeriasmiriam.com.ar","huggies","m","5.5","9.5","68","35.15"
"1300.0","www.perfumeriasmiriam.com.ar","pampers","rn","0","4.5","20","65.0"
"1880.0","www.perfumeriasmiriam.com.ar","pampers","rn","0","4.5","36","52.22"
"2800.0","www.perfumeriasmiriam.com.ar","pampers","rn","0","4.5","56","50.0"
